comment_score KDE Curve Data
============================

          x  kde_density
1471.080402 5.554016e-06
1491.492462 9.935247e-06
1511.904523 1.446927e-05
1532.316583 1.717434e-05
1552.728643 1.676918e-05
1573.140704 1.379975e-05
1593.552764 1.010950e-05
1613.964824 7.171248e-06
1634.376884 5.177084e-06
1654.788945 3.624390e-06
1675.201005 2.242711e-06
1695.613065 1.152017e-06
1716.025126 4.966078e-07
1736.437186 2.626517e-07
1756.849246 3.989844e-07
1777.261307 9.305376e-07
1797.673367 1.859334e-06
1818.085427 2.953743e-06
1838.497487 3.756290e-06
1858.909548 3.969734e-06
1879.321608 3.806374e-06
1899.733668 3.745631e-06
1920.145729 3.915378e-06
1940.557789 3.922288e-06
1960.969849 3.368369e-06
1981.381910 2.343033e-06
2001.793970 1.294255e-06
2022.206030 5.759571e-07
2042.618090 2.612615e-07
2063.030151 3.001298e-07
2083.442211 7.022688e-07
2103.854271 1.507458e-06
2124.266332 2.571206e-06
2144.678392 3.442953e-06
2165.090452 3.616537e-06
2185.502513 2.983486e-06
2205.914573 1.952189e-06
2226.326633 1.092576e-06
2246.738693 7.731687e-07
2267.150754 1.123826e-06
2287.562814 2.129916e-06
2307.974874 3.634080e-06
2328.386935 5.358608e-06
2348.798995 7.017451e-06
2369.211055 8.285102e-06
2389.623116 8.662725e-06
2410.035176 7.727697e-06
2430.447236 5.680728e-06
2450.859296 3.362794e-06
2471.271357 1.582518e-06
2491.683417 5.881572e-07
2512.095477 1.720827e-07
2532.507538 3.957403e-08
2552.919598 7.148140e-09
2573.331658 1.013754e-09
2593.743719 1.128637e-10
2614.155779 9.863245e-12
2634.567839 6.765626e-13
2654.979899 3.642547e-14
2675.391960 1.539221e-15
2695.804020 5.104892e-17
2716.216080 1.328782e-18
2736.628141 2.714526e-20
2757.040201 4.352103e-22
2777.452261 5.475967e-24
2797.864322 5.407174e-26
2818.276382 4.190049e-28
2838.688442 2.547993e-30
2859.100503 1.215904e-32
2879.512563 4.553159e-35
2899.924623 1.337921e-37
2920.336683 3.084918e-40
2940.748744 5.581403e-43
